Disease_name,country,records_with_country,pathogens,target_ids,in_gibb_etal,in_empres_i
Borna disease (encephalitis),Iran,3,Orthobornavirus bornaense,Orthobornavirus_bornaense,FALSE,FALSE
Borna disease (encephalitis),Japan,7,Orthobornavirus bornaense,Orthobornavirus_bornaense,FALSE,FALSE
Borna disease (encephalitis),Liechtenstein,2,Orthobornavirus bornaense,Orthobornavirus_bornaense,FALSE,FALSE
Borna disease (encephalitis),Sweden,1,Orthobornavirus bornaense,Orthobornavirus_bornaense,FALSE,FALSE
Borna disease (encephalitis),Switzerland,25,Orthobornavirus bornaense,Orthobornavirus_bornaense,FALSE,FALSE
Borrelia hermsii,China,8,Borrelia hermsii,Borrelia_hermsii,FALSE,FALSE
Borrelia hermsii,United States,527,Borrelia hermsii,Borrelia_hermsii,FALSE,FALSE
Brazilian spotted fever,Brazil,340,Rickettsia rickettsii,Rickettsia_rickettsii,FALSE,FALSE
Brazilian spotted fever,China,6,Rickettsia rickettsii,Rickettsia_rickettsii,FALSE,FALSE
Brazilian spotted fever,Colombia,23,Rickettsia rickettsii,Rickettsia_rickettsii,FALSE,FALSE
Brazilian spotted fever,Costa Rica,5,Rickettsia rickettsii,Rickettsia_rickettsii,FALSE,FALSE
Brazilian spotted fever,India,5,Rickettsia rickettsii,Rickettsia_rickettsii,FALSE,FALSE
Brazilian spotted fever,Kyrgyzstan,1,Rickettsia rickettsii,Rickettsia_rickettsii,FALSE,FALSE
