pathogen,pathogen_raw_examples,pathogen_tax_id,pheic_risk,disease_name,disease_name_raw_examples,host_tax_id,host,pathogen_class,pathogen_order,pathogen_family,pathogen_genus,host_phylum,host_class,host_family,host_order,detection_method,main_source,pathogen_type,is_zoonotic,zoonotic_status,canonicalization_status,pathogen_raw,disease_name_raw,pathogen_family_raw,pathogen_genus_raw,pathogen_type_raw,pathogen_clean,disease_name_clean,pathogen_family_clean,pathogen_genus_clean,pathogen_type_clean
Alphavirus chikungunya,Alphavirus chikungunya,3426298,High,Chikungunya fever,Chikungunya fever,9606,Homo sapiens,alsuviricetes,martellivirales,togaviridae,alphavirus,,,,,PCR/Sequencing,VIRION,virus,TRUE,zoonotic,identity,Alphavirus chikungunya,Chikungunya fever,togaviridae,alphavirus,virus,alphavirus chikungunya,chikungunya fever,togaviridae,alphavirus,virus
Alphavirus chikungunya,Alphavirus chikungunya,37124,High,Chikungunya fever,Chikungunya fever,9541,Macaca fascicularis,alsuviricetes,martellivirales,togaviridae,alphavirus,chordata,mammalia,cercopithecidae,primates,Antibodies; PCR/Sequencing,VIRION,virus,TRUE,zoonotic,identity,Alphavirus chikungunya,Chikungunya fever,togaviridae,alphavirus,virus,alphavirus chikungunya,chikungunya fever,togaviridae,alphavirus,virus
Alphavirus chikungunya,Alphavirus chikungunya,3426298,High,Chikungunya fever,Chikungunya fever,9541,Macaca fascicularis,alsuviricetes,martellivirales,togaviridae,alphavirus,chordata,mammalia,cercopithecidae,primates,PCR/Sequencing,VIRION,virus,TRUE,zoonotic,identity,Alphavirus chikungunya,Chikungunya fever,togaviridae,alphavirus,virus,alphavirus chikungunya,chikungunya fever,togaviridae,alphavirus,virus
Alphavirus chikungunya,Alphavirus chikungunya,37124,High,Chikungunya fever,Chikungunya fever,9544,Macaca mulatta,alsuviricetes,martellivirales,togaviridae,alphavirus,chordata,mammalia,cercopithecidae,primates,Antibodies,VIRION,virus,TRUE,zoonotic,identity,Alphavirus chikungunya,Chikungunya fever,togaviridae,alphavirus,virus,alphavirus chikungunya,chikungunya fever,togaviridae,alphavirus,virus
Alphavirus chikungunya,Alphavirus chikungunya,37124,High,Chikungunya fever,Chikungunya fever,10112,Mastomys natalensis,alsuviricetes,martellivirales,togaviridae,alphavirus,chordata,mammalia,muridae,rodentia,Antibodies,VIRION,virus,TRUE,zoonotic,identity,Alphavirus chikungunya,Chikungunya fever,togaviridae,alphavirus,virus,alphavirus chikungunya,chikungunya fever,togaviridae,alphavirus,virus
Alphavirus chikungunya,Alphavirus chikungunya,3426298,High,Chikungunya fever,Chikungunya fever,2997257,Molossus nigricans,alsuviricetes,martellivirales,togaviridae,alphavirus,,,,,PCR/Sequencing,VIRION,virus,TRUE,zoonotic,identity,Alphavirus chikungunya,Chikungunya fever,togaviridae,alphavirus,virus,alphavirus chikungunya,chikungunya fever,togaviridae,alphavirus,virus
Alphavirus chikungunya,Alphavirus chikungunya,37124,High,Chikungunya fever,Chikungunya fever,242384,Mops pumilus,alsuviricetes,martellivirales,togaviridae,alphavirus,chordata,mammalia,molossidae,chiroptera,Isolation/Observation,VIRION,virus,TRUE,zoonotic,identity,Alphavirus chikungunya,Chikungunya fever,togaviridae,alphavirus,virus,alphavirus chikungunya,chikungunya fever,togaviridae,alphavirus,virus
Alphavirus chikungunya,Alphavirus chikungunya,37124,High,Chikungunya fever,Chikungunya fever,10090,Mus musculus,alsuviricetes,martellivirales,togaviridae,alphavirus,chordata,mammalia,muridae,rodentia,Isolation/Observation,VIRION,virus,TRUE,zoonotic,identity,Alphavirus chikungunya,Chikungunya fever,togaviridae,alphavirus,virus,alphavirus chikungunya,chikungunya fever,togaviridae,alphavirus,virus
Alphavirus chikungunya,Alphavirus chikungunya,3426298,High,Chikungunya fever,Chikungunya fever,10090,Mus musculus,alsuviricetes,martellivirales,togaviridae,alphavirus,chordata,mammalia,muridae,rodentia,PCR/Sequencing,VIRION,virus,TRUE,zoonotic,identity,Alphavirus chikungunya,Chikungunya fever,togaviridae,alphavirus,virus,alphavirus chikungunya,chikungunya fever,togaviridae,alphavirus,virus
Alphavirus chikungunya,Alphavirus chikungunya,37124,High,Chikungunya fever,Chikungunya fever,9598,Pan troglodytes,alsuviricetes,martellivirales,togaviridae,alphavirus,chordata,mammalia,hominidae,primates,Antibodies; Not specified,VIRION,virus,TRUE,zoonotic,identity,Alphavirus chikungunya,Chikungunya fever,togaviridae,alphavirus,virus,alphavirus chikungunya,chikungunya fever,togaviridae,alphavirus,virus
Alphavirus chikungunya,Alphavirus chikungunya,37124,High,Chikungunya fever,Chikungunya fever,9557,Papio hamadryas,alsuviricetes,martellivirales,togaviridae,alphavirus,chordata,mammalia,cercopithecidae,primates,Antibodies; PCR/Sequencing,VIRION,virus,TRUE,zoonotic,identity,Alphavirus chikungunya,Chikungunya fever,togaviridae,alphavirus,virus,alphavirus chikungunya,chikungunya fever,togaviridae,alphavirus,virus
Alphavirus chikungunya,Alphavirus chikungunya,3426298,High,Chikungunya fever,Chikungunya fever,9557,Papio hamadryas,alsuviricetes,martellivirales,togaviridae,alphavirus,chordata,mammalia,cercopithecidae,primates,PCR/Sequencing,VIRION,virus,TRUE,zoonotic,identity,Alphavirus chikungunya,Chikungunya fever,togaviridae,alphavirus,virus,alphavirus chikungunya,chikungunya fever,togaviridae,alphavirus,virus
Alphavirus chikungunya,Alphavirus chikungunya,37124,High,Chikungunya fever,Chikungunya fever,100937,Papio papio,alsuviricetes,martellivirales,togaviridae,alphavirus,chordata,mammalia,cercopithecidae,primates,Isolation/Observation,VIRION,virus,TRUE,zoonotic,identity,Alphavirus chikungunya,Chikungunya fever,togaviridae,alphavirus,virus,alphavirus chikungunya,chikungunya fever,togaviridae,alphavirus,virus
Alphavirus chikungunya,Alphavirus chikungunya,37124,High,Chikungunya fever,Chikungunya fever,36229,Papio ursinus,alsuviricetes,martellivirales,togaviridae,alphavirus,chordata,mammalia,cercopithecidae,primates,Antibodies; Not specified,VIRION,virus,TRUE,zoonotic,identity,Alphavirus chikungunya,Chikungunya fever,togaviridae,alphavirus,virus,alphavirus chikungunya,chikungunya fever,togaviridae,alphavirus,virus
Alphavirus chikungunya,Alphavirus chikungunya,37124,High,Chikungunya fever,Chikungunya fever,58821,Passer luteus,alsuviricetes,martellivirales,togaviridae,alphavirus,chordata,aves,passeridae,passeriformes,Isolation/Observation,VIRION,virus,TRUE,zoonotic,identity,Alphavirus chikungunya,Chikungunya fever,togaviridae,alphavirus,virus,alphavirus chikungunya,chikungunya fever,togaviridae,alphavirus,virus
