disease,v_species,v_group,evidence_level,evidence_basis,location,source,notes,record_source
Crimean-Congo haemorrhagic fever,Rhipicephalus microplus,tick,candidate,review,Africa; Pakistan,Shahhosseini et al. 2021,,lit_review
Crimean-Congo haemorrhagic fever,Rhipicephalus guilhoni,tick,candidate,review,Senegal,Shahhosseini et al. 2021,,lit_review
Crimean-Congo haemorrhagic fever,Rhipicephalus pulchellus,tick,candidate,review,Kenya,Shahhosseini et al. 2021,limited field finding,lit_review
Crimean-Congo haemorrhagic fever,Haemaphysalis punctata,tick,candidate,review,Some parts of Asia; South-East of Europe,Shahhosseini et al. 2021,,lit_review
Crimean-Congo haemorrhagic fever,Haemaphysalis inermis,tick,candidate,review,Iran,Shahhosseini et al. 2021,,lit_review
Crimean-Congo haemorrhagic fever,Haemaphysalis concinna,tick,candidate,review,Turkey,Shahhosseini et al. 2021,,lit_review
Crimean-Congo haemorrhagic fever,Haemaphysalis sulcata,tick,candidate,review,Iran,Shahhosseini et al. 2021,,lit_review
Crimean-Congo haemorrhagic fever,Haemaphysalis parva,tick,candidate,review,"Turkey, North Caucasus",Shahhosseini et al. 2021,,lit_review
Crimean-Congo haemorrhagic fever,Dermacentor marginatus,tick,candidate,review,Southern Europe;Middle East; Mediterranean,Shahhosseini et al. 2021,,lit_review
Crimean-Congo haemorrhagic fever,Dermacentor niveus,tick,candidate,review,Tajikistan,Shahhosseini et al. 2021,,lit_review
Crimean-Congo haemorrhagic fever,Ixodes ricinus,tick,candidate,review,Europe; Mediterranean; Northern Africa,Shahhosseini et al. 2021,,lit_review
Crimean-Congo haemorrhagic fever,Amblyomma variegatum,tick,candidate,review,Sub-Saharan Africa,Shahhosseini et al. 2021,,lit_review
Crimean-Congo haemorrhagic fever,Ornithodoros lahorensis,tick,candidate,review,Iran,Shahhosseini et al. 2021,,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma spp.,tick,confirmed,review,,Spengler et al. 2016,natural vector,lit_review
Crimean-Congo haemorrhagic fever,Rhipicephalus evertsi evertsi,tick,candidate,review,Mauritania,Spengler et al. 2016,PCR only,lit_review
Crimean-Congo haemorrhagic fever,Rhipicephalus sanguineus,tick,weak,review,Mauritania,Spengler et al. 2016,debated,lit_review
Crimean-Congo haemorrhagic fever,Rhipicephalus spp.,tick,candidate,review,,Spengler et al. 2016,isolated from ticks,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma aegyptium,tick,candidate,review,Tajikistan,Spengler et al. 2016,detected in tick,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma rufipes,tick,candidate,review,,Spengler et al. 2016,experimental transmission,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma spp.,tick,confirmed,review,Africa/Asia/Southern Europe,de la Fuente et al. 2017,principal vector,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma marginatum,tick,confirmed,review,,de la Fuente et al. 2024,principal vector,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma anatolicum,tick,confirmed,review,,de la Fuente et al. 2024,principal vector,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma asiaticum,tick,confirmed,review,,de la Fuente et al. 2024,principal vector,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma dromedarii,tick,confirmed,review,,de la Fuente et al. 2024,principal vector,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma rufipes,tick,confirmed,review,,de la Fuente et al. 2024,principal vector,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma truncatum,tick,confirmed,review,,de la Fuente et al. 2024,principal vector,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma turanicum,tick,confirmed,review,,de la Fuente et al. 2024,principal vector,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma impeltatum,tick,confirmed,review,,de la Fuente et al. 2024,principal vector,lit_review
dengue,Aedes hensilli,mosquito,weak,field+lab,"Yap State, Federated States of Micronesia","(Ledermann et al., 2014)",low competence; debated,lit_review
dengue,Aedes aegypti,mosquito,confirmed,review,global,"(Kristan et al., 2025)",principal vector,lit_review
dengue,Aedes albopictus,mosquito,probable,review,global,"(Kristan et al., 2025)",secondary vector,lit_review
dengue,Aedes aegypti,mosquito,confirmed,lab,Puerto Rico; Caribbean,"(Poole-Smith et al., 2015)",primary vector; only two species covered,lit_review
dengue,Aedes mediovittatus,mosquito,probable,lab,Puerto Rico; Caribbean,"(Poole-Smith et al., 2015)",secondary vector candidate; competent in lab; only two species covered,lit_review
dengue,Aedes aegypti,mosquito,confirmed,review,global,"(Delrieu et al., 2023)",,lit_review
dengue,Aedes albopictus,mosquito,confirmed,review,global,"(Delrieu et al., 2023)",,lit_review
dengue,Aedes aegypti,mosquito,confirmed,review,United States and territories,"(Barrera, 2025)",principal vector,lit_review
dengue,Aedes albopictus,mosquito,confirmed,review,United States and territories,"(Barrera, 2025)",secondary vector,lit_review
dengue,Aedes polynesiensis,mosquito,confirmed,review,American Samoa,"(Barrera, 2025)",regional vector,lit_review
dengue,Aedes mediovittatus,mosquito,candidate,review,Puerto Rico; US Virgin Islands,"(Barrera, 2025)",not incriminated in outbreaks,lit_review
dengue,Aedes furcifer,mosquito,confirmed,review,Senegal,Althouse et al. 2012,main vector in Senegal,lit_review
dengue,Aedes taylori,mosquito,confirmed,review,Senegal,Althouse et al. 2012,main vector in Senegal,lit_review
dengue,Aedes luteocephalus,mosquito,confirmed,review,Senegal,Althouse et al. 2012,main vector in Senegal,lit_review
dengue,Aedes vittatus,mosquito,confirmed,review,Senegal,Althouse et al. 2012,main vector in Senegal,lit_review
dengue,Aedes aegypti,mosquito,confirmed,review,Senegal,Althouse et al. 2012,main vector in Senegal,lit_review
dengue,Aedes aegypti,mosquito,confirmed,review,global,Barrera 2025,principal vector,lit_review
dengue,Aedes albopictus,mosquito,probable,review,,Barrera 2025,secondary vector,lit_review
dengue,Aedes polynesiensis,mosquito,probable,review,South Pacific Islands,Barrera 2025,transmits dengue,lit_review
dengue,Aedes mediovittatus,mosquito,candidate,review,Puerto Rico and US Virgin Islands,Barrera 2025,potential vector,lit_review
dengue,Aedes aegypti,mosquito,confirmed,review,,Delrieu et al. 2023,major vector,lit_review
dengue,Aedes albopictus,mosquito,confirmed,review,,Delrieu et al. 2023,,lit_review
dengue,Aedes aegypti,mosquito,confirmed,review,Cambodia,Doeurk et al. 2024,main vector,lit_review
dengue,Aedes albopictus,mosquito,confirmed,review,Cambodia,Doeurk et al. 2024,main vector,lit_review
dengue,Aedes malayensis,mosquito,candidate,review,Cambodia,Doeurk et al. 2024,potential vector,lit_review
dengue,Aedes scutellaris,mosquito,candidate,review,Cambodia,Doeurk et al. 2024,potential vector,lit_review
dengue,Aedes aegypti,mosquito,confirmed,review,,Islam et al. 2021,principal vector,lit_review
dengue,Aedes albopictus,mosquito,confirmed,review,,Islam et al. 2021,principal vector,lit_review
dengue,Aedes polynesiensis,mosquito,probable,review,,Islam et al. 2021,secondary vector,lit_review
dengue,Aedes niveus,mosquito,probable,review,,Islam et al. 2021,secondary vector,lit_review
