target_id,query_pathogen_label,query_pathogen_source,pathogen_species_name,pathogen_taxid,source_db,query_used,query_strategy,query_source,retrieval_policy,allow_sampling,analysis_unit_ids,readiness_disease_names,readiness_row_count,manifest_status,manifest_status_reason,qa_flags,existing_genbank_country_evidence,existing_genbank_distinct_countries_or_territories,current_target_id,current_manifest_query_strategy
Orthoflavivirus_louisense,Orthoflavivirus louisense,pathogen_species_name,Orthoflavivirus louisense,11080; 3052468,nuccore,(txid11080[Organism:exp] OR txid3052468[Organism:exp]),taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_40,St. Louis encephalitis,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,12,NA,NA
Orthoflavivirus_murrayense,Orthoflavivirus murrayense,pathogen_species_name,Orthoflavivirus murrayense,11079; 3048215,nuccore,(txid11079[Organism:exp] OR txid3048215[Organism:exp]),taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_91,Murray Valley encephalitis,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,3,NA,NA
Orthoflavivirus_nilense,Orthoflavivirus nilense,pathogen_species_name,Orthoflavivirus nilense,11082; 3048448,nuccore,(txid11082[Organism:exp] OR txid3048448[Organism:exp]),taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_6,West Nile fever,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,73,NA,NA
Orthoflavivirus_omskense,Orthoflavivirus omskense,pathogen_species_name,Orthoflavivirus omskense,12542; 3048233,nuccore,(txid12542[Organism:exp] OR txid3048233[Organism:exp]),taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_83,Omsk HF,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,1,NA,NA
Orthoflavivirus_powassanense,Orthoflavivirus powassanense,pathogen_species_name,Orthoflavivirus powassanense,11083; 3048287,nuccore,(txid11083[Organism:exp] OR txid3048287[Organism:exp]),taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_36,Powassan,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,3,NA,NA
Orthoflavivirus_zikaense,Orthoflavivirus zikaense,pathogen_species_name,Orthoflavivirus zikaense,3048459; 64320,nuccore,(txid3048459[Organism:exp] OR txid64320[Organism:exp]),taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_3,Zika virus disease,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,78,NA,NA
Orthohantavirus_andesense,Orthohantavirus andesense,pathogen_species_name,Orthohantavirus andesense,1980456,nuccore,txid1980456[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_66,Andes,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,8,NA,NA
Orthohantavirus_bayoui,Orthohantavirus bayoui,pathogen_species_name,Orthohantavirus bayoui,3052470,nuccore,txid3052470[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_69,Bayou,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,2,NA,NA
Orthohantavirus_hantanense,Orthohantavirus hantanense,pathogen_species_name,Orthohantavirus hantanense,3052480,nuccore,txid3052480[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,who_8,Hemorrhagic fever with renal syndrome (Hantaan virus),1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,5,NA,NA
Orthohantavirus_prospectense,Orthohantavirus prospectense,pathogen_species_name,Orthohantavirus prospectense,3052492,nuccore,txid3052492[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_67,Prospect Hill,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,non_include_scope; already_has_genbank_country_evidence,TRUE,1,NA,NA
Orthohantavirus_sinnombreense,Orthohantavirus sinnombreense,pathogen_species_name,Orthohantavirus sinnombreense,3052499; 44755,nuccore,(txid3052499[Organism:exp] OR txid44755[Organism:exp]),taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_19; master_65,Hantavirus pulmonary syndrome; Sin Nombre,2,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,duplicate_species_group; already_has_genbank_country_evidence,TRUE,4,NA,NA
Orthomarburgvirus_marburgense,Orthomarburgvirus marburgense,pathogen_species_name,Orthomarburgvirus marburgense,3052505,nuccore,txid3052505[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_10,Marburg virus disease,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,16,NA,NA
Orthonairovirus_haemorrhagiae,Orthonairovirus haemorrhagiae,pathogen_species_name,Orthonairovirus haemorrhagiae,3052518,nuccore,txid3052518[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_7,Crimean-Congo hemorrhagic fever,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,53,NA,NA
