Pathogen,PathogenTaxID,Disease_name,HostTaxID,Host,PathogenClass,PathogenOrder,PathogenFamily,HostClass,HostFamily,HostOrder,DetectionMethod,MainSource,PathogenType,analysis_unit_id,master_row,disease_master_name,resolved_pathogen_name,host_query_bucket,host_query_include_default,match_review_flag,shared_species_proxy_flag,match_review_notes,match_method,source_database,source_assoc_id,source_host_flag_id,host_query_pathogen_names,host_query_taxids
orthoflavivirus japonicum,11072,Japanese encephalitis,9121,fulica atra,flasuviricetes,amarillovirales,flaviviridae,aves,rallidae,gruiformes,Antibodies,VIRION,virus,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,Shaw,98073,FALSE,orthoflavivirus japonicum,11072; 3048158
orthoflavivirus japonicum,11072,Japanese encephalitis,9031,gallus gallus,flasuviricetes,amarillovirales,flaviviridae,aves,phasianidae,galliformes,Antibodies,VIRION,virus,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,Shaw,122244,FALSE,orthoflavivirus japonicum,11072; 3048158
orthoflavivirus japonicum,3048158,Japanese encephalitis,9031,gallus gallus,flasuviricetes,amarillovirales,flaviviridae,aves,phasianidae,galliformes,PCR/Sequencing,VIRION,virus,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,GenBank,122247,FALSE,orthoflavivirus japonicum,11072; 3048158
orthoflavivirus japonicum,3048158,Japanese encephalitis,36247,gyps fulvus,flasuviricetes,amarillovirales,flaviviridae,aves,accipitridae,accipitriformes,PCR/Sequencing,VIRION,virus,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,GenBank,124153,FALSE,orthoflavivirus japonicum,11072; 3048158
orthoflavivirus japonicum,11072,Japanese encephalitis,186990,hipposideros armiger,flasuviricetes,amarillovirales,flaviviridae,mammalia,hipposideridae,chiroptera,Isolation/Observation,VIRION,virus,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,HP3,125041,FALSE,orthoflavivirus japonicum,11072; 3048158
orthoflavivirus japonicum,11072,Japanese encephalitis,186990,hipposideros armiger,flasuviricetes,amarillovirales,flaviviridae,mammalia,hipposideridae,chiroptera,Antibodies,VIRION,virus,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,Shaw,125040,FALSE,orthoflavivirus japonicum,11072; 3048158
orthoflavivirus japonicum,11072,Japanese encephalitis,157961,hipposideros bicolor,flasuviricetes,amarillovirales,flaviviridae,mammalia,hipposideridae,chiroptera,Antibodies,VIRION,virus,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,HP3,125092,FALSE,orthoflavivirus japonicum,11072; 3048158
orthoflavivirus japonicum,11072,Japanese encephalitis,270698,hipposideros cineraceus,flasuviricetes,amarillovirales,flaviviridae,mammalia,hipposideridae,chiroptera,Antibodies,VIRION,virus,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,HP3,125283,FALSE,orthoflavivirus japonicum,11072; 3048158
orthoflavivirus japonicum,11072,Japanese encephalitis,334201,hipposideros pomona,flasuviricetes,amarillovirales,flaviviridae,mammalia,hipposideridae,chiroptera,Antibodies,VIRION,virus,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,HP3,125702,FALSE,orthoflavivirus japonicum,11072; 3048158
orthoflavivirus japonicum,11072,Japanese encephalitis,394056,hipposideros speoris,flasuviricetes,amarillovirales,flaviviridae,mammalia,hipposideridae,chiroptera,Antibodies,VIRION,virus,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,HP3,125957,FALSE,orthoflavivirus japonicum,11072; 3048158
