Host,Virus,PHEIC risk,Pathogens,Disease_name,previous_name,msl39_viral_name,in_gibb_etal,in_empres_i,Virion_VirusName,HostTaxID,HostGenus,HostFamily,HostOrder,HostClass,VirusTaxID,VirusGenus,VirusFamily,VirusOrder,VirusClass,DetectionMethod,HostFlagID,high_quality_detection,downstream_default_include,downstream_review_reason
felis catus,orthobornavirus bornaense,Low,Orthobornavirus bornaense,Borna disease (encephalitis),Mammalian Bornavirus 1 (BoDV-1),Orthobornavirus bornaense,FALSE,FALSE,orthobornavirus bornaense,9685,felis,felidae,carnivora,mammalia,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
equus asinus,orthobornavirus bornaense,Low,Orthobornavirus bornaense,Borna disease (encephalitis),Mammalian Bornavirus 1 (BoDV-1),Orthobornavirus bornaense,FALSE,FALSE,orthobornavirus bornaense,9793,equus,equidae,perissodactyla,mammalia,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
equus caballus,orthobornavirus bornaense,Low,Orthobornavirus bornaense,Borna disease (encephalitis),Mammalian Bornavirus 1 (BoDV-1),Orthobornavirus bornaense,FALSE,FALSE,orthobornavirus bornaense,9796,equus,equidae,perissodactyla,mammalia,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
lama glama,orthobornavirus bornaense,Low,Orthobornavirus bornaense,Borna disease (encephalitis),Mammalian Bornavirus 1 (BoDV-1),Orthobornavirus bornaense,FALSE,FALSE,orthobornavirus bornaense,9844,lama,camelidae,artiodactyla,mammalia,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
bos taurus,orthobornavirus bornaense,Low,Orthobornavirus bornaense,Borna disease (encephalitis),Mammalian Bornavirus 1 (BoDV-1),Orthobornavirus bornaense,FALSE,FALSE,orthobornavirus bornaense,9913,bos,bovidae,artiodactyla,mammalia,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
ovis aries,orthobornavirus bornaense,Low,Orthobornavirus bornaense,Borna disease (encephalitis),Mammalian Bornavirus 1 (BoDV-1),Orthobornavirus bornaense,FALSE,FALSE,orthobornavirus bornaense,9940,ovis,bovidae,artiodactyla,mammalia,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
oryctolagus cuniculus,orthobornavirus bornaense,Low,Orthobornavirus bornaense,Borna disease (encephalitis),Mammalian Bornavirus 1 (BoDV-1),Orthobornavirus bornaense,FALSE,FALSE,orthobornavirus bornaense,9986,oryctolagus,leporidae,lagomorpha,mammalia,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
coloeus monedula,orthobornavirus bornaense,Low,Orthobornavirus bornaense,Borna disease (encephalitis),Mammalian Bornavirus 1 (BoDV-1),Orthobornavirus bornaense,FALSE,FALSE,orthobornavirus bornaense,30423,coloeus,corvidae,passeriformes,aves,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
vicugna pacos,orthobornavirus bornaense,Low,Orthobornavirus bornaense,Borna disease (encephalitis),Mammalian Bornavirus 1 (BoDV-1),Orthobornavirus bornaense,FALSE,FALSE,orthobornavirus bornaense,30538,vicugna,camelidae,artiodactyla,mammalia,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
crocidura russula,orthobornavirus bornaense,Low,Orthobornavirus bornaense,Borna disease (encephalitis),Mammalian Bornavirus 1 (BoDV-1),Orthobornavirus bornaense,FALSE,FALSE,orthobornavirus bornaense,36802,crocidura,soricidae,eulipotyphla,mammalia,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
sorex araneus,orthobornavirus bornaense,Low,Orthobornavirus bornaense,Borna disease (encephalitis),Mammalian Bornavirus 1 (BoDV-1),Orthobornavirus bornaense,FALSE,FALSE,orthobornavirus bornaense,42254,sorex,soricidae,eulipotyphla,mammalia,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
crocidura suaveolens,orthobornavirus bornaense,Low,Orthobornavirus bornaense,Borna disease (encephalitis),Mammalian Bornavirus 1 (BoDV-1),Orthobornavirus bornaense,FALSE,FALSE,orthobornavirus bornaense,52631,crocidura,soricidae,eulipotyphla,mammalia,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
