species,model_file_count,model_paths,has_top_level_model,has_nested_model,nested_contexts
Meles leucurus,1,Meles leucurus/Meles leucurus.rds,TRUE,FALSE,
Meles meles,1,Meles meles/Meles meles.rds,TRUE,FALSE,
Mellivora capensis,1,Mellivora capensis/Mellivora capensis.rds,TRUE,FALSE,
Melogale moschata,1,Melogale moschata/Melogale moschata.rds,TRUE,FALSE,
Melursus ursinus,1,Melursus ursinus/Melursus ursinus.rds,TRUE,FALSE,
Mephitis mephitis,1,Mephitis mephitis/Mephitis mephitis.rds,TRUE,FALSE,
Meriones unguiculatus,1,Meriones unguiculatus/Meriones unguiculatus.rds,TRUE,FALSE,
Micromys minutus,1,Micromys minutus/Micromys minutus.rds,TRUE,FALSE,
Microtus agrestis,1,Microtus agrestis/Microtus agrestis.rds,TRUE,FALSE,
Microtus arvalis,1,Microtus arvalis/Microtus arvalis.rds,TRUE,FALSE,
Microtus rossiaemeridionalis,1,Microtus rossiaemeridionalis/Microtus rossiaemeridionalis.rds,TRUE,FALSE,
Miniopterus schreibersii,1,Miniopterus schreibersii/Miniopterus schreibersii.rds,TRUE,FALSE,
Mirounga leonina,1,Mirounga leonina/Mirounga leonina.rds,TRUE,FALSE,
Molossus molossus,1,Molossus molossus/Molossus molossus.rds,TRUE,FALSE,
Molossus rufus,1,Molossus rufus/Molossus rufus.rds,TRUE,FALSE,
Monodelphis domestica,1,Monodelphis domestica/Monodelphis domestica.rds,TRUE,FALSE,
Morelia spilota,1,Morelia spilota/Morelia spilota.rds,TRUE,FALSE,
Mus musculoides,1,Mus musculoides/Mus musculoides.rds,TRUE,FALSE,
Mus musculus,2,Mus musculus/Mus musculus.rds; nipah/Mus musculus/Mus musculus.rds,TRUE,TRUE,nipah
Mus setulosus,1,Mus setulosus/Mus setulosus.rds,TRUE,FALSE,
Mus spretus,1,Mus spretus/Mus spretus.rds,TRUE,FALSE,
Mustela erminea,1,Mustela erminea/Mustela erminea.rds,TRUE,FALSE,
Mustela eversmanii,1,Mustela eversmanii/Mustela eversmanii.rds,TRUE,FALSE,
Mustela kathiah,1,Mustela kathiah/Mustela kathiah.rds,TRUE,FALSE,
Mustela lutreola,1,Mustela lutreola/Mustela lutreola.rds,TRUE,FALSE,
Mustela nigripes,1,Mustela nigripes/Mustela nigripes.rds,TRUE,FALSE,
Mustela putorius,1,Mustela putorius/Mustela putorius.rds,TRUE,FALSE,
Myotis daubentonii,1,Myotis daubentonii/Myotis daubentonii.rds,TRUE,FALSE,
Myotis emarginatus,1,Myotis emarginatus/Myotis emarginatus.rds,TRUE,FALSE,
Myotis lucifugus,1,Myotis lucifugus/Myotis lucifugus.rds,TRUE,FALSE,
Myotis myotis,1,Myotis myotis/Myotis myotis.rds,TRUE,FALSE,
Myotis mystacinus,1,Myotis mystacinus/Myotis mystacinus.rds,TRUE,FALSE,
Myotis nattereri,1,Myotis nattereri/Myotis nattereri.rds,TRUE,FALSE,
Myotis nigricans,1,Myotis nigricans/Myotis nigricans.rds,TRUE,FALSE,
Myrmecophaga tridactyla,1,Myrmecophaga tridactyla/Myrmecophaga tridactyla.rds,TRUE,FALSE,
Nasua nasua,1,Nasua nasua/Nasua nasua.rds,TRUE,FALSE,
Neomonachus schauinslandi,1,Neomonachus schauinslandi/Neomonachus schauinslandi.rds,TRUE,FALSE,
Neotoma lepida,1,Neotoma lepida/Neotoma lepida.rds,TRUE,FALSE,
Nomascus gabriellae,1,Nomascus gabriellae/Nomascus gabriellae.rds,TRUE,FALSE,
Notechis scutatus,1,Notechis scutatus/Notechis scutatus.rds,TRUE,FALSE,
Nyctalus noctula,1,Nyctalus noctula/Nyctalus noctula.rds,TRUE,FALSE,
Nyctereutes procyonoides,1,Nyctereutes procyonoides/Nyctereutes procyonoides.rds,TRUE,FALSE,
Ochotona alpina,1,Ochotona alpina/Ochotona alpina.rds,TRUE,FALSE,
Ochotona curzoniae,1,Ochotona curzoniae/Ochotona curzoniae.rds,TRUE,FALSE,
Ochotona dauurica,1,Ochotona dauurica/Ochotona dauurica.rds,TRUE,FALSE,
Odocoileus hemionus,1,Odocoileus hemionus/Odocoileus hemionus.rds,TRUE,FALSE,
Odocoileus virginianus,1,Odocoileus virginianus/Odocoileus virginianus.rds,TRUE,FALSE,
Oedipomidas geoffroyi,1,Oedipomidas geoffroyi/Oedipomidas geoffroyi.rds,TRUE,FALSE,
Oena capensis,1,Oena capensis/Oena capensis.rds,TRUE,FALSE,
Ondatra zibethicus,1,Ondatra zibethicus/Ondatra zibethicus.rds,TRUE,FALSE,
Onychomys leucogaster,1,Onychomys leucogaster/Onychomys leucogaster.rds,TRUE,FALSE,
Oryctolagus cuniculus,1,Oryctolagus cuniculus/Oryctolagus cuniculus.rds,TRUE,FALSE,
Otaria byronia,1,Otaria byronia/Otaria byronia.rds,TRUE,FALSE,
Otocyon megalotis,1,Otocyon megalotis/Otocyon megalotis.rds,TRUE,FALSE,
Ovis ammon,1,Ovis ammon/Ovis ammon.rds,TRUE,FALSE,
Ovis aries,1,Ovis aries/Ovis aries.rds,TRUE,FALSE,
Oxyuranus microlepidotus,1,Oxyuranus microlepidotus/Oxyuranus microlepidotus.rds,TRUE,FALSE,
Oxyuranus scutellatus,1,Oxyuranus scutellatus/Oxyuranus scutellatus.rds,TRUE,FALSE,
Paguma larvata,1,Paguma larvata/Paguma larvata.rds,TRUE,FALSE,
Pan troglodytes,1,Pan troglodytes/Pan troglodytes.rds,TRUE,FALSE,
Panthera leo,1,Panthera leo/Panthera leo.rds,TRUE,FALSE,
Panthera onca,1,Panthera onca/Panthera onca.rds,TRUE,FALSE,
Panthera pardus,1,Panthera pardus/Panthera pardus.rds,TRUE,FALSE,
Panthera tigris,1,Panthera tigris/Panthera tigris.rds,TRUE,FALSE,
Pantherophis guttatus,1,Pantherophis guttatus/Pantherophis guttatus.rds,TRUE,FALSE,
Papio cynocephalus,1,Papio cynocephalus/Papio cynocephalus.rds,TRUE,FALSE,
Papio hamadryas,1,Papio hamadryas/Papio hamadryas.rds,TRUE,FALSE,
Papio papio,1,Papio papio/Papio papio.rds,TRUE,FALSE,
Papio ursinus,1,Papio ursinus/Papio ursinus.rds,TRUE,FALSE,
Paradoxurus hermaphroditus,1,Paradoxurus hermaphroditus/Paradoxurus hermaphroditus.rds,TRUE,FALSE,
Peromyscus boylii,1,Peromyscus boylii/Peromyscus boylii.rds,TRUE,FALSE,
Peromyscus californicus,1,Peromyscus californicus/Peromyscus californicus.rds,TRUE,FALSE,
Peromyscus eremicus,1,Peromyscus eremicus/Peromyscus eremicus.rds,TRUE,FALSE,
Peromyscus leucopus,1,Peromyscus leucopus/Peromyscus leucopus.rds,TRUE,FALSE,
Peromyscus maniculatus,1,Peromyscus maniculatus/Peromyscus maniculatus.rds,TRUE,FALSE,
Peromyscus truei,1,Peromyscus truei/Peromyscus truei.rds,TRUE,FALSE,
Peropteryx macrotis,1,Peropteryx macrotis/Peropteryx macrotis.rds,TRUE,FALSE,
Phelsuma madagascariensis,1,Phelsuma madagascariensis/Phelsuma madagascariensis.rds,TRUE,FALSE,
Philander opossum,1,Philander opossum/Philander opossum.rds,TRUE,FALSE,
Philantomba monticola,1,Philantomba monticola/Philantomba monticola.rds,TRUE,FALSE,
Phoca vitulina,1,Phoca vitulina/Phoca vitulina.rds,TRUE,FALSE,
Phocarctos hookeri,1,Phocarctos hookeri/Phocarctos hookeri.rds,TRUE,FALSE,
Physignathus cocincinus,1,Physignathus cocincinus/Physignathus cocincinus.rds,TRUE,FALSE,
Pipistrellus coromandra,1,Pipistrellus coromandra/Pipistrellus coromandra.rds,TRUE,FALSE,
Pipistrellus kuhlii,1,Pipistrellus kuhlii/Pipistrellus kuhlii.rds,TRUE,FALSE,
Pipistrellus nathusii,1,Pipistrellus nathusii/Pipistrellus nathusii.rds,TRUE,FALSE,
Pipistrellus pipistrellus,1,Pipistrellus pipistrellus/Pipistrellus pipistrellus.rds,TRUE,FALSE,
Plecotus auritus,1,Plecotus auritus/Plecotus auritus.rds,TRUE,FALSE,
Pogona vitticeps,1,Pogona vitticeps/Pogona vitticeps.rds,TRUE,FALSE,
Pongo abelii,1,Pongo abelii/Pongo abelii.rds,TRUE,FALSE,
Pongo pygmaeus,1,Pongo pygmaeus/Pongo pygmaeus.rds,TRUE,FALSE,
Prionailurus bengalensis,1,Prionailurus bengalensis/Prionailurus bengalensis.rds,TRUE,FALSE,
Prionailurus viverrinus,1,Prionailurus viverrinus/Prionailurus viverrinus.rds,TRUE,FALSE,
Procyon lotor,1,Procyon lotor/Procyon lotor.rds,TRUE,FALSE,
Proechimys semispinosus,1,Proechimys semispinosus/Proechimys semispinosus.rds,TRUE,FALSE,
Pseudechis porphyriacus,1,Pseudechis porphyriacus/Pseudechis porphyriacus.rds,TRUE,FALSE,
