raw_host_label,source_field,scientific_name_clean,host_binomial,host_infraspecific_epithet,host_authorship_year_suffix,host_canonicalization_flag,review_bucket,package_check_target,suggested_who_host,fuzzy_score,reason_flag,row_count
"Stigmochelys pardalis (BELL, 1828)",host_scientific_name,"Stigmochelys pardalis (BELL, 1828)",Stigmochelys pardalis,,"(BELL, 1828)",authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.47619047619047616,needs_binomialization,42
Thryonomys swinderianus_Temminck 1827,host_scientific_name,Thryonomys swinderianus Temminck 1827,Thryonomys swinderianus,,Temminck 1827,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.5217391304347826,needs_binomialization,42
Spermophilus beecheyi douglasii_Richardson 1829,host_scientific_name,Spermophilus beecheyi douglasii Richardson 1829,Spermophilus beecheyi,douglasii,Richardson 1829,trinomial_and_suffix,manual_crosswalk_candidate,TRUE,,0.625,needs_binomialization,41
Tamias ochrogenys,host_scientific_name,Tamias ochrogenys,Tamias ochrogenys,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.6470588235294117,needs_manual_synonym_map,41
Hippotragus equinus,verbatim_host_name,,Hippotragus equinus,,,,package_candidate_check,TRUE,,0.6842105263157895,verbatim_binomial_candidate,41
Neotoma floridana,verbatim_host_name,,Neotoma floridana,,,,package_candidate_check,TRUE,,0.7058823529411764,verbatim_binomial_candidate,41
Tamias ochrogenys,verbatim_host_name,,Tamias ochrogenys,,,,package_candidate_check,TRUE,,0.6470588235294117,verbatim_binomial_candidate,41
"Cattle, dromedars, and sheep",verbatim_host_name,,,,,,drop_from_species_level,FALSE,,,drop_from_species_level,40
Neotoma,verbatim_host_name,,,,,,drop_from_species_level,FALSE,,,drop_from_species_level,40
Potamochoerus porcus,verbatim_host_name,,Potamochoerus porcus,,,,package_candidate_check,TRUE,,0.5833333333333333,verbatim_binomial_candidate,40
Swamp Rabbit,verbatim_host_name,,,,,,drop_from_species_level,FALSE,,,drop_from_species_level,40
tortoises: Geochelone pardalis,verbatim_host_name,,,,,,drop_from_species_level,FALSE,,,drop_from_species_level,40
tortoises: Kinixys belliana,verbatim_host_name,,,,,,drop_from_species_level,FALSE,,,drop_from_species_level,40
Citellus richardsonii,verbatim_host_name,,Citellus richardsonii,,,,package_candidate_check,TRUE,,0.47619047619047616,verbatim_binomial_candidate,39
"Cattle,Sheep",verbatim_host_name,,,,,,drop_from_species_level,FALSE,,,drop_from_species_level,38
Zonotrichia albicollis,verbatim_host_name,,Zonotrichia albicollis,,,,package_candidate_check,TRUE,,0.4545454545454546,verbatim_binomial_candidate,38
Cynomys leucurus Merriam 1890,host_scientific_name,Cynomys leucurus Merriam 1890,Cynomys leucurus,,Merriam 1890,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.6,needs_binomialization,37
Genetta thierryi_Matschie 1902,host_scientific_name,Genetta thierryi Matschie 1902,Genetta thierryi,,Matschie 1902,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.4375,needs_binomialization,37
Rich. Gr. Sq.,verbatim_host_name,,,,,,drop_from_species_level,FALSE,,,drop_from_species_level,37
Cerdocyon thous_Linnaeus 1766,host_scientific_name,Cerdocyon thous Linnaeus 1766,Cerdocyon thous,,Linnaeus 1766,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.4666666666666667,needs_binomialization,36
Colinus cristatus,host_scientific_name,Colinus cristatus,Colinus cristatus,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.7222222222222222,needs_manual_synonym_map,36
Felis nigripes_Burchell 1824,host_scientific_name,Felis nigripes Burchell 1824,Felis nigripes,,Burchell 1824,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.5,needs_binomialization,36
Dipodomys californicus,verbatim_host_name,,Dipodomys californicus,,,,package_candidate_check,TRUE,,0.5909090909090908,verbatim_binomial_candidate,36
Pipilo erythrophthalmus,verbatim_host_name,,Pipilo erythrophthalmus,,,,package_candidate_check,TRUE,,0.5217391304347826,verbatim_binomial_candidate,36
"Quail, Bobwhite",verbatim_host_name,,,,,,drop_from_species_level,FALSE,,,drop_from_species_level,36
Passerina cyanea,host_scientific_name,Passerina cyanea,Passerina cyanea,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.5294117647058824,needs_manual_synonym_map,35
Spizella passerina,host_scientific_name,Spizella passerina,Spizella passerina,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.5454545454545454,needs_manual_synonym_map,35
