species,Water,Evergreen Needleleaf forest,Evergreen Broadleaf forest,Deciduous Needleleaf forest,Deciduous Broadleaf forest,Mixed forest,Closed shrublands,Open shrublands,Woody savannas,Savannas,Grasslands,Permanent wetlands,Croplands,Urban and built-up,Cropland/Natural vegetation mosaic,Snow and ice,Barren or sparsely vegetated
aethia pusilla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aethia pygmaea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aethomys bocagei,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0.75,0.75,0.375,0,0,0,0,0,0
aethomys chrysophilus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0.75,0.75,0.375,0,0.75,0,0.375,0,0
aethomys granti,0,0,0,0,0,0,0.75,0.75,0.375,0,0,0,0,0,0,0,0.75
aethomys hindei,0.375,0.75,0.75,0.75,0.75,0.75,0.375,0,0.75,0.75,0.75,0.375,0,0,0,0,0
aethomys ineptus,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0,0,0.75,0,0,0,0,0,0
aethomys kaiseri,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0.75,0.75,0.375,0,0,0,0,0,0
aethomys namaquensis,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0,0.75,0.75,0.375,0,0.75
aethomys nyikae,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
aethomys silindensis,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0.75
aethomys stannarius,0,0,0,0,0,0,0.75,0.75,0.75,0.75,0.75,0,0,0,0,0,0
aethomys thomasi,0,0,0,0,0,0,0.75,0.75,0.375,0,0,0,0,0,0,0,0
aethopyga bella,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0,0,0.325,0.325
aethopyga boltoni,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0,0,0.325,0.325
aethopyga christinae,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
aethopyga duyvenbodei,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0.65,0,0.325,0,0
aethopyga eximia,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0,0,0.325,0.325
aethopyga flagrans,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
aethopyga gouldiae,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0,0,0.325,0.325
aethopyga ignicauda,0,0.65,0.65,0.65,0.65,0.65,1,1,0.5,0,0,0,0,0,0,0.5,0.5
aethopyga linaraborae,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
aethopyga mystacalis,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
aethopyga nipalensis,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.325,0,0.65,0.325,0.325,0.325,0.325
aethopyga primigenia,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
aethopyga pulcherrima,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0,0.65,0,0.325,0,0
aethopyga saturata,0,0.65,0.65,0.65,0.65,0.65,1,1,0.5,0,0,0,0,0,0,0.325,0.325
aethopyga shelleyi,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0,0,0.325,0.325
aethopyga siparaja,0.325,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0.325,0.65,0.65,0,0.325,0,0,0
afropavo congensis,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
afrotis afra,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0.65
afrotis afraoides,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0.65
agamia agami,0.65,1,1,1,1,0.65,0.325,0,0,0,0,0.65,0,0,0,0,0
agapornis canus,0.325,0,0,0,0,0,0.65,0.65,0.65,0.65,0.325,0.65,0.65,0,0.65,0,0
agapornis fischeri,0,0.65,0.65,0.65,0.65,0.65,0.325,0,1,1,0.5,0,0.65,0,0.325,0,0
agapornis lilianae,0,0.65,0.65,0.65,0.65,0.65,0.325,0,1,1,0.5,0,0.65,0,0.325,0,0
agapornis nigrigenis,0.65,1,1,1,1,1,0.5,0,0,0,0,0,1,0,0.5,0,0
agapornis personatus,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,0
agapornis pullarius,0,1,1,1,1,1,0.65,0.65,1,1,0.5,0.325,0,0,0,0,0
agapornis roseicollis,0,0,0,0,0,0,0.65,0.65,1,1,0.5,0,0,0,0,0,0.65
agapornis swindernianus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
agapornis taranta,0,1,1,1,1,1,0.5,0,1,1,0.5,0,0,0.65,0,0,0
agelaioides badius,0,0.65,0.325,0.65,0.325,0.65,0.65,0.65,0.325,0,0,0,0.65,0.65,0.325,0.325,0
agelaius assimilis,0.5,0,0,0,0,0,0,0.5,0,0,0.5,1,0.65,0,0.325,0,0
agelaius humeralis,0,0.65,0.325,0.65,0.325,0.65,0.65,0.65,0.325,0,0,0,0.65,0,0.325,0.325,0
agelaius phoeniceus,0.5,0,0,0,0,0,0,0.5,0,0,0.5,1,0.65,0,0.325,0,0
agelaius tricolor,0.5,0,0,0,0,0,0,0.5,0,0,0.5,1,1,0,0.5,0,0
agelaius xanthomus,0.325,0,0,0,0,0,0.65,0.65,0.325,0,0,0.65,0.65,0,0.325,0,0
agelastes meleagrides,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0.65,0.325,0,0.65
agelastes niger,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0.25,0.125,0,0.25
agelasticus cyanopus,0.5,0,0,0,0,0,0,0.5,0,0,0.5,1,0,0,0,0,0
agelasticus thilius,0.5,0,0,0,0,0,0,0.5,0,0,0.65,1,0.65,0,0.325,0,0
agelasticus xanthophthalmus,0.5,0,0,0,0,0,0,0.5,0,0,0.5,1,0,0,0,0,0
aglaeactis aliciae,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,0,0.5,0.5
aglaeactis castelnaudii,0,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0.5,0.5
aglaeactis cupripennis,0,0.65,0.65,0.65,0.65,0.65,1,1,0.5,0,0,0,0,0,0,0.5,0.5
aglaeactis pamela,0,0.65,0.65,0.65,0.65,0.65,1,1,0.5,0,0,0,0,0,0,0.5,0.5
aglaiocercus berlepschi,0,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0.5,0.5
aglaiocercus coelestis,0,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0
aglaiocercus kingii,0,0.65,0.65,0.65,0.65,0.65,1,1,0.5,0.325,0.65,0,0,0,0,0.5,0.5
agriornis albicauda,0,0,0,0,0,0,1,1,0.5,0,1,0,0.65,0.65,0.325,0.5,0.5
agriornis lividus,0,0,0,0,0,0,1,1,0.5,0,0,0,0.65,0,0.325,0,0
agriornis micropterus,0,0,0,0,0,0,1,1,0.5,0,0.65,0,0.65,0,0.325,0.5,0.5
agriornis montanus,0,0,0,0,0,0,1,1,0.5,0,0.65,0,0.65,0.65,0.325,0.5,0.65
agriornis murinus,0,0,0,0,0,0,1,1,0.5,0.5,1,0,0.65,0,0.325,0,0
ailuroedus buccoides,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
ailuroedus crassirostris,0,1,1,1,1,1,0.5,0,0.65,0.65,0.325,0,0,0.325,0,0,0
ailuroedus melanotis,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0,0,0,0
ailuropoda melanoleuca,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
ailurops melanotis,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0.125,0,0,0.25,0.125,0,0.25
ailurops ursinus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0.375,0,0.75,0.375,0.375,0,0
ailurus fulgens,0,1,1,1,1,1,0.5,0.25,0.125,0,0,0,0,0,0,0.125,0.125
aimophila notosticta,0,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0
aimophila rufescens,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0.325,0.65,0,0,0,0,0,0
aimophila ruficeps,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0.325,0.65,0,0,0,0,0,0
aix galericulata,1,1,1,1,1,1,0.5,0.325,0,0,0.325,0.65,0,0,0,0,0
aix sponsa,1,1,1,1,1,1,0.5,0.325,0,0,0.325,0.65,0,0,0,0,0
akodon aerosus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0.75,0,0.75,0.375,0.375,0.375,0.375
akodon affinis,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0.25,0.125,0,0.25
akodon albiventer,0,0,0,0,0,0,0,0,0,0,0.75,0,0.75,0,0.375,0.375,0.375
akodon aliquantulus,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0.375,0.375
akodon azarae,0.25,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0,0,0,0.25,0,0,0,0,0
akodon boliviensis,0,0,0,0,0,0,0.75,0.75,0.375,0,0.75,0,0.25,0.125,0.125,0.375,0.375
akodon budini,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
akodon cursor,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
akodon dayi,0,0.25,0.25,0.25,0.25,0.25,0.125,0,0,0.375,0.75,0,0.25,0.25,0.125,0,0
akodon dolores,0,0,0,0,0,0,0.75,0.75,0,0,0,0,0,0,0,0,0
akodon fumeus,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.375,0,0.75,0,0,0.25,0.125,0.375,0.375
akodon iniscatus,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0,0,0.75,0,0.75,0,0.375,0,0
akodon juninensis,0,0,0,0,0,0,0,0,0,0,0.75,0,0.75,0.375,0.375,0.375,0.375
akodon kofordi,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.375,0,0.25,0,0,0,0,0.375,0.75
akodon leucolimnaeus,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0.375,0.375
akodon lindberghi,0.375,0,0,0,0,0,0,0,0,0,0.75,0.375,0,0,0,0,0
akodon lutescens,0.375,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.375,0,0.75,0.75,0.75,0,0.375,0.375,0.375
akodon mimus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0.375,0,0.75,0.375,0.375,0,0
akodon molinae,0,0,0,0,0,0,0.75,0.75,0.375,0,0,0,0.75,0,0.375,0,0.75
akodon mollis,0.375,0,0,0,0,0,0.75,0.75,0.375,0.375,0.75,0.375,0,0.75,0.125,0,0.25
akodon montensis,0.25,0.75,0.75,0.75,0.75,0.75,0.375,0,0.75,0.75,0.375,0.25,0,0,0,0,0
akodon mystax,0.375,0,0,0,0,0,0.25,0.375,0.125,0,0.75,0.75,0,0,0,0.375,0.375
akodon neocenus,0,0,0,0,0,0,0.75,0.75,0,0,0.75,0,0,0,0,0,0
akodon oenos,0,0,0,0,0,0,0.75,0.75,0.375,0,0.375,0,0,0,0,0,0.75
akodon orophilus,0.375,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.375,0,0.75,0.375,0.75,0.375,0.375,0,0
akodon paranaensis,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
akodon pervalens,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0
akodon philipmyersi,0.125,0.25,0.25,0.25,0.25,0.25,0.75,0.75,0.375,0,0.25,0.125,0,0,0,0,0
akodon reigi,0.25,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0.25,0,0,0,0,0
akodon sanctipaulensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
akodon serrensis,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
akodon siberiae,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
akodon simulator,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.375,0,0.75,0,0,0,0,0.375,0.375
akodon spegazzinii,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0.75,0,0,0,0,0.375,0.375
akodon subfuscus,0.375,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0.75,0.375,0.25,0.125,0.125,0.375,0.375
akodon surdus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
akodon sylvanus,0.375,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0.75,0.375,0,0,0,0,0
akodon toba,0,0,0,0,0,0,0.75,0.75,0.375,0,0,0,0,0,0,0,0
akodon torques,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.375,0,0.75,0,0.25,0.75,0.125,0.375,0.375
akodon varius,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0
alaemon alaudipes,0,0,0,0,0,0,1,1,0.5,0.325,0.65,0,0,0,0,0,1
alaemon hamertoni,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0
alauda arvensis,0.65,0,0,0,0,0,0.65,0.65,0.325,0.325,1,1,0.65,0,0.325,0,0.65
alauda gulgula,0.65,0,0,0,0,0,0.65,0.65,0.325,0.325,0.65,0.65,0.65,0,0.325,0,0
alauda japonica,0.65,0,0,0,0,0,0.65,0.65,0,0,0.65,0.65,0.65,0,0.325,0,0.65
alauda razae,1,0,0,0,0,0,1,1,0.5,0.325,0.65,1,0,0,0,0,0
alca torda,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
alcedo atthis,1,0,0,0,0,0,0,0.325,0,0,0.65,1,0,0.65,0,0,0.65
alcedo coerulescens,1,0,0,0,0,0,0,0.325,0,0,0.325,1,0.65,0,0.325,0,0
alcedo euryzona,1,1,1,1,1,1,0.5,0,0,0,0,1,0,0,0,0,0
alcedo hercules,1,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,1,0,0,0,0,0
alcedo meninting,1,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0.5,1,0.65,0,0.325,0,0
alcedo peninsulae,1,1,1,1,1,1,0.5,0,0,0,0,1,0,0,0,0,0
alcedo quadribrachys,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0.325,0.65,0.65,0.325,0.65,0.65,0,0.325,0,0.325
alcedo semitorquata,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0.325,0.65,0,0,0,0,0
alcippe brunnea,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0,0,0.325,0.325
alcippe brunneicauda,0.65,1,1,1,1,1,0.5,0,0,0,0,0.65,0.65,0,0.325,0,0
alcippe castaneceps,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
alcippe chrysotis,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
alcippe cinerea,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0,0,0.325,0.325
alcippe cinereiceps,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0,0,0.325,0.325
alcippe danisi,0,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0.5,0.5
alcippe dubia,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0,0,0.325,0.325
alcippe formosana,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0,0,0.325,0.325
alcippe grotei,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0,0,0,0
alcippe klossi,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0,0,0.325,0.325
alcippe ludlowi,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
alcippe manipurensis,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0,0,0.325,0.325
alcippe morrisonia,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0,0,0.325,0.325
alcippe nipalensis,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0,0,0.325,0.325
alcippe peracensis,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
alcippe poioicephala,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0,0,0.325,0.325
alcippe pyrrhoptera,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
alcippe ruficapilla,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0,0,0.325,0.325
alcippe rufogularis,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0,0,0,0
alcippe striaticollis,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
alcippe variegaticeps,0.65,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
alcippe vinipectus,0,0.65,0.65,0.65,0.65,0.65,1,1,0,0,0,0,0,0,0,0,0
aleadryas rufinucha,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0.65,0.325,0,0.65
alectoris barbara,0,0.65,0.65,0.65,0.65,0.65,0.325,0.65,0.325,0,0,0,0.65,0,0.325,0,0
alectoris chukar,0,0,0,0,0,0,0.325,0.65,0.325,0,0.65,0,0,0,0,0,0
alectoris graeca,0,0.65,0.65,0.65,0.65,0.65,0.325,0.65,0.325,0,0,0,0,0,0,0,0
alectoris magna,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0.65
alectoris melanocephala,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0,0,0.65,0,0.65,0,0.325,0,0.65
alectoris philbyi,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.5,0.5,0.65
alectoris rufa,0,0,0,0,0,0,0.65,0.65,0.325,0,0.65,0,0.65,0,0.325,0,0.65
alectroenas madagascariensis,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0.325,0,0,0.65,0.325,0,0.65
alectroenas nitidissimus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
alectroenas pulcherrimus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
alectroenas sganzini,0.325,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0.65,0,0,0,0,0
alectrurus risora,0.5,0,0,0,0,0,0.65,0.65,1,1,1,1,0,0,0,0,0
alectrurus tricolor,0.5,0,0,0,0,0,0,0,1,1,1,0.5,0,0,0,0,0
alectura lathami,0,1,1,1,1,1,0.65,0.65,0.65,0.65,0.325,0,0,0.25,0,0,0
alethe castanea,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
alethe choloensis,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0.65,0.65,0.325,0,0,0,0,0,0
alethe diademata,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
alethe fuelleborni,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
alethe poliocephala,0,1,1,1,1,1,0.5,0,0,0,0,0.325,0,0,0,0,0
alethe poliophrys,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
alionycteris paucidentata,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
alipiopsitta xanthops,0,1,1,1,1,1,0.5,0,1,1,0.5,0,0,0,0,0,0
alisterus amboinensis,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0.325,0,0,0.325,0,0,0
alisterus chloropterus,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0,0,0,0,0,0
alisterus scapularis,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.65,0.65,0.325,0,0
allactaga balikunica,0,0,0,0,0,0,0.75,0.75,0,0,0.375,0,0,0,0,0.75,0.75
allactaga bullata,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0.75,0.75
allactaga elater,0,0,0,0,0,0,0.75,0.75,0.375,0,0.375,0,0,0,0,0,0.75
allactaga euphratica,0,0,0,0,0,0,0.75,0.75,0.375,0,0.75,0,0.25,0,0.125,0,0
allactaga firouzi,0,0,0,0,0,0,1,1,0,0,0.5,0,0,0,0,0,1
allactaga hotsoni,0,0,0,0,0,0,1,1,0.5,0.375,0.75,0,0,0,0,0,1
allactaga major,0,0,0,0,0,0,0.75,0.75,0,0,0.25,0,0.75,0,0.375,0,0.25
allactaga sibirica,0,0,0,0,0,0,0.75,0.75,0.375,0,0.75,0,0,0,0,0,0
allactaga tetradactyla,0.375,0,0,0,0,0,0,0,0,0,0.375,0.75,0,0,0,0,0.75
allactaga vinogradovi,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0.75
allactaga williamsi,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0
allactodipus bobrinskii,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0.75
alle alle,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
allenopithecus nigroviridis,0.75,0.75,0.75,0.75,0.75,0,0,0,0,0,0,0.75,0,0,0,0,0
allocebus trichotis,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
allocricetulus curtatus,0,0,0,0,0,0,0.75,0.75,0.375,0,0,0,0,0,0,0,0
allocricetulus eversmanni,0,0,0,0,0,0,0.75,0.75,0,0,0.75,0,0.75,0,0.375,0,0
alopecoenas beccarii,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
alopecoenas canifrons,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
alopecoenas erythropterus,0,1,1,1,1,1,0.65,0.65,0.325,0,0.325,0,0.65,0.325,0.325,0,0
alopecoenas ferrugineus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
alopecoenas hoedtii,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
alopecoenas jobiensis,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0.325,0,0,0.325,0,0,0
alopecoenas johannae,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0,0,0,0,0,0
alopecoenas kubaryi,0.325,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0.65,0.65,0,0.325,0,0
alopecoenas rubescens,0,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0
alopecoenas salamonis,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
alopecoenas sanctaecrucis,0,1,1,1,1,1,0.5,0,0,0,0,0,0.65,0,0.325,0,0
alopecoenas stairi,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
alopecoenas xanthonurus,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0.65,0.65,0.325,0,0.65
alophoixus affinis,0,1,1,1,1,1,0.5,0,0,0,0.325,0,0,0.65,0.325,0,0.65
alophoixus bres,0,1,1,1,1,1,0.5,0,0,0,0,0,0.65,0.65,0.325,0,0.65
alophoixus finschii,0,1,1,1,1,1,0.5,0,0,0,0,0,0.65,0.65,0.325,0,0.65
alophoixus flaveolus,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0.65,0.65,0.325,0,0.65
alophoixus ochraceus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
alophoixus pallidus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
alophoixus phaeocephalus,0,1,1,1,1,1,0.5,0,0,0,0,0.325,0.65,0,0.325,0,0
alopochelidon fucata,0.65,0,0,0,0,0,0,0.325,1,1,1,0.65,0,0,0,0,0
alopochen aegyptiaca,0.65,0,0,0,0,0,0,0.325,0,0,0.65,0.65,0,0,0,0.325,0.325
alopochen kervazoi,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
alopochen mauritiana,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
alouatta arctoidea,0,1,1,1,1,1,0.5,0,1,1,0.5,0,0,0,0,0,0
alouatta belzebul,0.5,1,1,1,1,1,0.5,0,0,0,0,1,0,0,0,0,0
alouatta caraya,0,1,1,1,1,1,0.5,0,1,1,0.5,0,0,0,0,0,0
alouatta discolor,0,1,1,1,1,1,0.5,0,0,0,0,0.5,0,0,0,0,0
alouatta macconnelli,0,1,1,1,1,1,0.5,0,1,1,0.5,0.5,0,0,0,0,0
alouatta nigerrima,0,1,1,1,1,1,0.5,0,1,1,0.5,0.5,0,0,0,0,0
alouatta pigra,0,1,1,1,1,1,0.5,0,0,0,0,0.5,0,0,0,0,0
alouatta sara,0,1,1,1,1,1,0.5,0,1,1,0.5,0.5,0,0,0,0,0
alouatta ululata,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
alticola albicaudus,0,0,0,0,0,0,0.75,0.75,0,0,0,0,0,0,0,0,0.75
alticola argentatus,0,0,0,0,0,0,0.75,0.75,0,0,0.75,0,0,0,0,0,0.75
alticola barakshin,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0
alticola lemminus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75
alticola macrotis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75
alticola montosa,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,1
alticola olchonensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75
alticola roylei,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,1
alticola semicanus,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0
alticola stoliczkanus,0,1,1,1,1,1,0.75,0.75,0,0,0.75,0,0,0,0,0,1
alticola strelzowi,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0
alticola tuvinicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75
amadina erythrocephala,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,1,1,0.65,0,0.65,0.325,0.325,0,0
amadina fasciata,0,0,0,0,0,0,0.65,0.65,1,1,0.65,0,0,0,0,0,0
amalocichla incerta,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
amalocichla sclateriana,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
amandava amandava,0.325,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0.325,0.65,0.65,0.65,0,0.325,0,0
amandava formosa,0.325,0.65,0.65,0.65,0.65,0.65,1,1,0.5,0.5,1,0.325,0.65,0,0.325,0,0
amandava subflava,0.325,0,0,0,0,0,0,0.325,0.65,0.65,0.65,0.65,0.65,0,0.325,0,0
amaurocichla bocagei,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
amaurolimnas concolor,0,1,1,1,1,1,0.5,0,0,0,0,0.325,0,0.65,0.325,0,0.65
amaurornis cinerea,0.65,0,0,0,0,0,0,0.325,0,0,0.65,0.65,0.65,0,0.65,0,0
amaurornis isabellina,0.65,0,0,0,0,0,0,0,0,0.325,0.65,0.65,0.65,0,0.325,0,0
amaurornis magnirostris,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0.65,0,0.325,0,0
amaurornis marginalis,1,0,0,0,0,0,0.325,0.325,0.65,0.65,1,0.65,0,0,0,0,0
amaurornis moluccana,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.65,0.65,0.65,0.65,0.325,0,0.65
amaurornis olivacea,0.325,0,0,0,0,0,0.65,0.65,0.325,0,0.65,0.65,0,0,0,0,0
