species,Water,Evergreen Needleleaf forest,Evergreen Broadleaf forest,Deciduous Needleleaf forest,Deciduous Broadleaf forest,Mixed forest,Closed shrublands,Open shrublands,Woody savannas,Savannas,Grasslands,Permanent wetlands,Croplands,Urban and built-up,Cropland/Natural vegetation mosaic,Snow and ice,Barren or sparsely vegetated
neacomys guianae,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
neacomys minutus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0.375,0,0,0,0,0
neacomys musseri,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
neacomys paracou,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
neacomys pictus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
neacomys spinosus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0.375,0,0.75,0.75,0.375,0,0.75
neacomys tenuipes,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
neafrapus boehmi,0,0.65,0.65,0.65,0.65,0.65,0.325,0,1,1,0.5,0,0,0,0,0,0
neafrapus cassini,0,1,1,1,1,1,0.5,0,0,0,0,0,0.65,0,0.325,0,0.65
neamblysomus gunningi,0,1,1,1,1,1,0.65,0.65,0.325,0,1,0,0.65,0.5,0.325,0,0
neamblysomus julianae,0,0,0,0,0,0,0,0,0,0.325,0.65,0,0,0.325,0,0,0
necromys amoenus,0,0,0,0,0,0,0.75,0.75,0.375,0,0.75,0,0.75,0,0.375,0.375,0.375
necromys benefactus,0,0,0,0,0,0,0.75,0.75,0,0,0.75,0,0,0,0,0,0
necromys lactens,0,0,0,0,0,0,0.75,0.75,0.375,0,0.75,0,0,0.375,0,0.375,0.375
necromys lasiurus,0,0.25,0.25,0.25,0.25,0.25,0.125,0,0.75,0.75,0.75,0,0,0.75,0.375,0,0.75
necromys lenguarum,0.375,0,0,0,0,0,0.75,0.75,0.75,0.75,0.75,0.375,0.25,0.125,0.125,0,0
necromys obscurus,0.375,0,0,0,0,0,0,0.375,0,0,0.75,0.75,0,0,0,0,0
necromys punctulatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
necromys temchuki,0,0.25,0.25,0.25,0.25,0.25,0.125,0,0,0,0.75,0,0,0,0,0,0
necromys urichi,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0.75,0,0.375,0,0
necropsittacus rodricanus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
necrosyrtes monachus,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0,0.65,0.65,0.325,0.325,0.65
nectarinia adelberti,0,1,1,1,1,1,0.5,0,0,0,0.325,0,0.65,0.65,0.325,0,0
nectarinia afra,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0,0,0.325,0,0,0
nectarinia alinae,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
