Taxa,lower,Average of Mass,Average of walking speed,Average of d,Average of density
Anopheles minimus,anopheles minimus,0.1,1,1.74E-05,150000
Anopheles moucheti,anopheles moucheti,0.1,1,1.74E-05,150000
Anopheles nili,anopheles nili,0.1,1,1.74E-05,150000
Anopheles nuneztovari,anopheles nuneztovari,0.1,1,1.74E-05,150000
Anopheles oswaldoi,anopheles oswaldoi,0.1,1,1.74E-05,150000
Anopheles paludis,anopheles paludis,0.1,1,1.74E-05,150000
Anopheles punctulatus,anopheles punctulatus,0.1,1,1.74E-05,150000
Anopheles stephensi,anopheles stephensi,0.1,1,1.74E-05,150000
Anopheles wellcomei,anopheles wellcomei,0.1,1,1.74E-05,150000
Anopheles arabinensis,anopheles arabinensis,0.1,1,1.74E-05,150000
Anourosorex squamipes,anourosorex squamipes,20,0.549540874,8.13E-05,62
Apodemus,apodemus,21.9,0.556062791,8.35E-05,60
Apodemus agrarius,apodemus agrarius,21.11,0.553413273,8.26E-05,61
Apodemus ponticus,apodemus ponticus,21.11,0.553413273,8.26E-05,61
Apodemus sylvaticus,apodemus sylvaticus,21.9,0.556062791,8.35E-05,60
Aroapyrgus,aroapyrgus,10,0.01,6.64E-05,5600
Arvicanthis abyssinicus,arvicanthis abyssinicus,73.34,0.650669453,0.000118657,42
Arvicanthis niloticus,arvicanthis niloticus,95.8,0.67366443,0.00012825,38
Bandicota bengalensis,bandicota bengalensis,226.99,0.753610559,0.000164845,29
Bandicota indica,bandicota indica,583.09,0.851945332,0.000216924,22
Biomphalaria,biomphalaria,10,0.01,6.64E-05,5600
Bison bison,bison bison,624577.07,2.110047759,0.001651941,3
Bison bonasus,bison bonasus,675876.7,2.131811852,0.001690326,3
Bithynia,bithynia,10,0.01,6.64E-05,5600
Blarina brevicauda,blarina brevicauda,18.56,0.544228445,7.95E-05,63
Boophilus,boophilus,2.75,0.01,4.56E-05,840
Bos mutus,bos mutus,500000,2.049897761,0.001548386,3
Bothriocroton hydrosauri,bothriocroton hydrosauri,2.75,0.01,4.56E-05,840
Bradypus tridactylus,bradypus tridactylus,4375.8,1.107142624,0.000389966,12
Bradypus variegatus,bradypus variegatus,4136.36,1.099072859,0.000383632,12
Bubalus arnee,bubalus arnee,929500.97,2.221971994,0.001854555,2
Bulinus,bulinus,10,0.318340478,6.64E-05,5600
Bulinus africanus,bulinus africanus,10,0.318340478,6.64E-05,5600
Bulinus forskalii,bulinus forskalii,10,0.318340478,6.64E-05,5600
Callopsylla dolabris,callopsylla dolabris,0.01,0.01,8.90E-06,0
Calomys callosus,calomys callosus,44.95,0.610549614,0.000102902,48
Calomys laucha,calomys laucha,14,0.524641626,7.33E-05,69
Camelus ferus,camelus ferus,523615.19,2.061826025,0.001568755,3
Canis aureus,canis aureus,9658.7,1.227172257,0.00049101,9
Canis latrans,canis latrans,11989.1,1.262142399,0.000522885,9
Canis lupus,canis lupus,31756.51,1.432532094,0.000694244,7
Cannomys badius,cannomys badius,472.07,0.828870977,0.000203993,24
Capreolus capreolus,capreolus capreolus,22502.01,1.369792775,0.000628023,7
Castor canadensis,castor canadensis,18124.41,1.331804275,0.000589704,8
Cavia aperea,cavia aperea,1000,0.91383145,0.000253793,19
Cavia tschudii,cavia tschudii,1000,0.91383145,0.000253793,19
Ceratophyllus,ceratophyllus,0.01,0.01,8.90E-06,0
Cercopithecus,cercopithecus,4096.161765,1.097678413,0.000382543,12
Cerdocyon thous,cerdocyon thous,5741.66,1.14694072,0.000422045,11
Cerradomys subflavus,cerradomys subflavus,49.91,0.618914254,0.000106084,47
Cervus elaphus,cervus elaphus,240867.13,1.864220075,0.001251919,4
Choloepus didactylus,choloepus didactylus,6646.5,1.168969532,0.000440406,11
Choloepus hoffmanni,choloepus hoffmanni,5893.5,1.150839151,0.000425263,11
Chrysops,chrysops,0.25,1,2.27E-05,12507.6
Chrysops dimidiata,chrysops dimidiata,0.25,1,2.27E-05,12507.6
Chrysops discalis,chrysops discalis,0.25,1,2.27E-05,12507.6
