matched_who_host,matched_who_host_tax_id,matched_who_host_class,matched_who_host_order,matched_who_host_family,vector_species_analysis,vector_species_needs_review,vector_name_taxonomy_examples,source_dataset_examples,country_examples,review_reason_examples,record_count
Ovis aries,9940,mammalia,artiodactyla,bovidae,Anopheles messeae x Anopheles daciae,TRUE,Anopheles messeae x Anopheles daciae,MapVEu,United Kingdom,vector_hybrid,3
Ovis aries,9940,mammalia,artiodactyla,bovidae,Culiseta annulata,FALSE,Culiseta annulata,MapVEu,United Kingdom,,5
Ovis aries,9940,mammalia,artiodactyla,bovidae,Ochlerotatus camptorhynchus,FALSE,Ochlerotatus camptorhynchus,MapVEu,Australia,,21
Passer domesticus,48849,aves,passeriformes,passeridae,Culex <subgenus>,FALSE,Culex <subgenus>,MapVEu,United Kingdom,,1
Passer domesticus,48849,aves,passeriformes,passeridae,Culex globocoxitus,FALSE,Culex globocoxitus,MapVEu,Australia,,6
Passer domesticus,48849,aves,passeriformes,passeridae,Culex pipiens,FALSE,Culex pipiens,MapVEu,United Kingdom,,12
Passer domesticus,48849,aves,passeriformes,passeridae,Culex pipiens molestus,TRUE,Culex pipiens molestus,MapVEu,Australia,vector_infraspecific,1
Passer domesticus,48849,aves,passeriformes,passeridae,Culiseta morsitans,FALSE,Culiseta morsitans,MapVEu,United Kingdom,,1
Passer domesticus,48849,aves,passeriformes,passeridae,Ochlerotatus camptorhynchus,FALSE,Ochlerotatus camptorhynchus,MapVEu,Australia,,2
Procyon lotor,9654,mammalia,carnivora,procyonidae,Culex cedecei,FALSE,Culex cedecei,MapVEu,United States,,451
Rattus norvegicus,10116,mammalia,rodentia,muridae,Anopheles atroparvus,FALSE,Anopheles atroparvus,MapVEu,United Kingdom,,2
Rattus rattus,10117,mammalia,rodentia,muridae,Aedes aegypti,FALSE,Aedes aegypti,MapVEu,Grenada,,32
Rattus rattus,10117,mammalia,rodentia,muridae,Culex cedecei,FALSE,Culex cedecei,MapVEu,United States,,451
Rattus rattus,10117,mammalia,rodentia,muridae,Culex quinquefasciatus,FALSE,Culex quinquefasciatus,MapVEu,Grenada,,37
Rattus tanezumi,35732,mammalia,rodentia,muridae,Aedes notoscriptus,FALSE,Aedes notoscriptus,MapVEu,Australia,,1
