analysis_unit_id,readiness_disease_name,pathogen_species_name,pathogen_taxid,analysis_unit_label,family,in_master_who,priority_prototype_status,master_tier,modelling_scope_status,transmission_rule_review_status,recommended_next_action,readiness_blocker,vectored_status,generalist_status,transmission_complexity,guild,range_limiting_layer,host_sdm_needed,vector_sdm_needed,direct_vector_evidence_status,country_evidence_status,sdm_availability_status,role_assignment_status,evidence_join_status,has_direct_vector_evidence,host_sdm_species_available,vector_sdm_species_available,genbank_distinct_countries_or_territories,who_don_distinct_countries
master_52,Bluetongue,Orbivirus caerulinguae,3431240; 40051,Bluetongue,Reoviridae,FALSE,,1,include,reviewed,curate_direct_vector_evidence,missing_direct_vector_evidence,vectored,host_group_generalist,complex,livestock_amplified_vector_borne,host_and_vector,yes,yes,conceptual_vectored_no_direct_vector_evidence,genbank_only,missing_required_host_sdm,no_role_evidence_or_assignment,matched_primary_name,FALSE,0,0,78,0
master_53,Rabies,Lyssavirus rabies,11292,Rabies,Lyssaviridae,FALSE,,1,review_before_modelling,needs_review,review_or_defer_scope,scope_not_include,non_vectored,host_group_generalist,mixed,direct_contact_or_bite,reservoir_host,optional,no,not_expected_non_vectored,genbank_only,sdm_not_required_or_not_model_ready,no_role_evidence_or_assignment,matched_primary_name,FALSE,0,0,137,0
master_54,Lumpy skin disease,Capripoxvirus lumpyskinpox,3427718; 59509,Lumpy skin disease,Poxviridae,FALSE,,1,review_before_modelling,needs_review,review_or_defer_scope,scope_not_include,vectored,restricted,mixed,livestock_amplified_vector_borne,livestock_host,yes,optional,conceptual_vectored_no_direct_vector_evidence,genbank_only,sdm_not_required_or_not_model_ready,no_role_evidence_or_assignment,matched_primary_name,FALSE,0,0,58,0
master_55,Epizootic haemorrhagic disease,Orbivirus ruminantium,3431252; 40054,Epizootic haemorrhagic disease,Reoviridae,FALSE,,1,include,reviewed,curate_direct_vector_evidence,missing_direct_vector_evidence,vectored,host_group_generalist,complex,livestock_amplified_vector_borne,host_and_vector,yes,yes,conceptual_vectored_no_direct_vector_evidence,genbank_only,missing_required_host_sdm,no_role_evidence_or_assignment,matched_primary_name,FALSE,0,0,23,0
master_56,African horse sickness,Orbivirus alphaequi,40050,African horse sickness,Reoviridae,FALSE,,1/2,include,reviewed,curate_direct_vector_evidence,missing_direct_vector_evidence,vectored,restricted,complex,livestock_amplified_vector_borne,host_and_vector,yes,yes,conceptual_vectored_no_direct_vector_evidence,genbank_only,missing_required_host_sdm,no_role_evidence_or_assignment,matched_primary_name,FALSE,0,0,14,0
master_57,Vesicular stomatitis,,11276,VSIV,Rhabdoviridae,FALSE,prototype,1/2,defer_broad_or_aggregate_unit,reviewed,review_or_defer_scope,scope_not_include,mixed_or_indirect,restricted,mixed,livestock_amplified_vector_borne,mixed,yes,optional,mixed_or_uncertain_review,no_country_evidence,sdm_not_required_or_not_model_ready,no_role_evidence_or_assignment,unmatched_no_evidence,FALSE,0,0,0,0
master_58,Trypanosomosis (tsetse),,,Trypanosomosis (tsetse),Trypanosoma,FALSE,,2/3,review_before_modelling,needs_review,review_or_defer_scope,scope_not_include,vectored,host_group_generalist,complex,tsetse_borne_parasite,host_and_vector,yes,yes,conceptual_vectored_no_direct_vector_evidence,no_country_evidence,sdm_not_required_or_not_model_ready,no_role_evidence_or_assignment,unmatched_no_evidence,FALSE,0,0,0,0
master_59,Theileriosis,,,Theileriosis,Theileria,FALSE,,2,review_before_modelling,needs_review,review_or_defer_scope,scope_not_include,vectored,host_group_generalist,complex,tick_borne_pathogen,host_and_vector,yes,yes,conceptual_vectored_no_direct_vector_evidence,no_country_evidence,sdm_not_required_or_not_model_ready,no_role_evidence_or_assignment,unmatched_no_evidence,FALSE,0,0,0,0
master_60,Tularemia,Francisella tularensis,263,Tularemia,Francisella,FALSE,,1/2,include,reviewed,curate_direct_vector_evidence,missing_direct_vector_evidence,mixed_or_indirect,generalist,mixed,mixed_vector_environmental_zoonosis,mixed,optional,optional,mixed_or_uncertain_review,who_don_only,optional_sdms_missing,no_role_evidence_or_assignment,matched_primary_name,FALSE,0,0,0,1
master_61,Leishmaniasis,,,Leishmaniasis,Leishmania,FALSE,,1/2,review_before_modelling,needs_review,review_or_defer_scope,scope_not_include,vectored,host_group_generalist,complex,sandfly_borne_parasite,host_and_vector,yes,yes,conceptual_vectored_no_direct_vector_evidence,who_don_only,sdm_not_required_or_not_model_ready,no_role_evidence_or_assignment,matched_primary_name,FALSE,0,0,0,2
master_62,Q fever,Coxiella burnetii,777,Q fever,Coxiella,FALSE,,1/2,include,reviewed,find_or_build_host_sdm,missing_required_host_sdm,non_vectored,generalist,mixed,livestock_primary_non_vectored,livestock_host,yes,no,not_expected_non_vectored,genbank_only,missing_required_host_sdm,no_role_evidence_or_assignment,matched_primary_name,FALSE,0,0,61,0
