efsa_pathogen,efsa_pathogen_clean,efsa_abbreviation,vector_species,vector_group,vector_status,field_results,laboratory_results,vn_database_species,vn_priority_species,source,vector_species_raw
West Nile virus,west nile virus,WNV,Culex thriambus,mosquito,potential,,positive,no,no,EFSA Appendix G,Culex thriambus
West Nile virus,west nile virus,WNV,Culex torrentium,mosquito,potential,,positive,yes,yes,EFSA Appendix G,Culex torrentium
West Nile virus,west nile virus,WNV,Culex univittatus,mosquito,highly_likely,positive,positive,yes,yes,EFSA Appendix G,Culex univittatus
West Nile virus,west nile virus,WNV,Culex vansomereni,mosquito,potential,,positive,no,no,EFSA Appendix G,Culex vansomereni
West Nile virus,west nile virus,WNV,Culiseta inornata,mosquito,potential,,positive,no,no,EFSA Appendix G,Culiseta inornata
West Nile virus,west nile virus,WNV,Culiseta melanura,mosquito,potential,positive,,no,no,EFSA Appendix G,Culiseta melanura
West Nile virus,west nile virus,WNV,Verrallina carmenti,mosquito,potential,,positive,no,no,EFSA Appendix G,Verrallina carmenti
West Nile virus,west nile virus,WNV,Verrallina funerea,mosquito,potential,,positive,no,no,EFSA Appendix G,Verrallina funerea
West Nile virus,west nile virus,WNV,Verrallina lineato,mosquito,potential,,positive,no,no,EFSA Appendix G,Verrallina lineato
Western equine encephalitis virus,western equine encephalitis virus,WEEV,Aedes aegypti,mosquito,potential,,positive,yes,yes,EFSA Appendix G,Aedes aegypti
Western equine encephalitis virus,western equine encephalitis virus,WEEV,Aedes albopictus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,Aedes albopictus
Western equine encephalitis virus,western equine encephalitis virus,WEEV,Culex pipiens pallens,mosquito,potential,,positive,yes,yes,EFSA Appendix G,Culex pipiens pallens
Western equine encephalitis virus,western equine encephalitis virus,WEEV,Culex quinquefasciatus,mosquito,potential,,positive,no,no,EFSA Appendix G,Culex quinquefasciatus
Western equine encephalitis virus,western equine encephalitis virus,WEEV,Culex tarsalis,mosquito,potential,,positive,no,no,EFSA Appendix G,Culex tarsalis
Yunnan orbivirus,yunnan orbivirus,YUOV,Anopheles sinensis,mosquito,potential,positive,,no,no,EFSA Appendix G,Anopheles sinensis
Yunnan orbivirus,yunnan orbivirus,YUOV,Culex tritaeniorhynchus,mosquito,potential,positive,,yes,yes,EFSA Appendix G,Culex tritaeniorhynchus
