analysis_unit_id,readiness_disease_name,disease_name,species_name,tax_id,host_class,host_order,host_family,host_detection_method,host_role_assignment,host_role_confidence,host_role_needs_manual_review,host_role_assignment_status,source_pathogens,in_current_role_review_scope,in_gibb_etal,in_empres_i,taxonomy_caution
master_12,Nipah virus disease,Nipah virus disease,Felis catus,9685,mammalia,carnivora,felidae,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,Henipavirus nipahense,TRUE,TRUE,TRUE,FALSE
master_12,Nipah virus disease,Nipah virus disease,Hipposideros armiger,186990,mammalia,chiroptera,hipposideridae,Antibodies,host_presence_only,low,TRUE,candidate_only,Henipavirus nipahense,TRUE,TRUE,TRUE,FALSE
master_12,Nipah virus disease,Nipah virus disease,Hipposideros larvatus,175524,mammalia,chiroptera,hipposideridae,Antibodies; PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,Henipavirus nipahense,TRUE,TRUE,TRUE,FALSE
master_12,Nipah virus disease,Nipah virus disease,Hipposideros pomona,334201,mammalia,chiroptera,hipposideridae,Antibodies,host_presence_only,low,TRUE,candidate_only,Henipavirus nipahense,TRUE,TRUE,TRUE,FALSE
master_12,Nipah virus disease,Nipah virus disease,Homo sapiens,9606,,,,Isolation/Observation; Not specified; PCR/Sequencing,amplifying_host,medium,TRUE,draft_needs_review,Henipavirus nipahense,TRUE,TRUE,TRUE,FALSE
master_12,Nipah virus disease,Nipah virus disease,Hypsignathus monstrosus,448084,mammalia,chiroptera,pteropodidae,Antibodies,host_presence_only,low,TRUE,candidate_only,Henipavirus nipahense,TRUE,TRUE,TRUE,FALSE
master_12,Nipah virus disease,Nipah virus disease,Mus musculus,10090,mammalia,rodentia,muridae,Isolation/Observation,host_presence_only,low,TRUE,candidate_only,Henipavirus nipahense,TRUE,TRUE,TRUE,FALSE
master_12,Nipah virus disease,Nipah virus disease,Myotis daubentonii,98922,mammalia,chiroptera,vespertilionidae,Antibodies,host_presence_only,low,TRUE,candidate_only,Henipavirus nipahense,TRUE,TRUE,TRUE,FALSE
master_12,Nipah virus disease,Nipah virus disease,Myotis pilosus,203696,mammalia,chiroptera,vespertilionidae,Antibodies,host_presence_only,low,TRUE,candidate_only,Henipavirus nipahense,TRUE,TRUE,TRUE,FALSE
master_12,Nipah virus disease,Nipah virus disease,Pteropus hypomelanus,9405,mammalia,chiroptera,pteropodidae,Antibodies; Isolation/Observation; PCR/Sequencing,reservoir_host,high,TRUE,draft_source_backed,Henipavirus nipahense,TRUE,TRUE,TRUE,FALSE
master_12,Nipah virus disease,Nipah virus disease,Pteropus lylei,166054,mammalia,chiroptera,pteropodidae,Isolation/Observation; PCR/Sequencing,reservoir_host,medium,TRUE,draft_source_backed,Henipavirus nipahense,TRUE,TRUE,TRUE,FALSE
master_12,Nipah virus disease,Nipah virus disease,Pteropus medius,143291,mammalia,chiroptera,pteropodidae,PCR/Sequencing,reservoir_host,medium,TRUE,draft_source_backed,Henipavirus nipahense,TRUE,TRUE,TRUE,FALSE
master_12,Nipah virus disease,Nipah virus disease,Pteropus vampyrus,132908,mammalia,chiroptera,pteropodidae,Isolation/Observation; PCR/Sequencing,reservoir_host,high,TRUE,draft_source_backed,Henipavirus nipahense,TRUE,TRUE,TRUE,FALSE
master_12,Nipah virus disease,Nipah virus disease,Rhinolophus affinis,59477,mammalia,chiroptera,rhinolophidae,Antibodies,host_presence_only,low,TRUE,candidate_only,Henipavirus nipahense,TRUE,TRUE,TRUE,FALSE
master_12,Nipah virus disease,Nipah virus disease,Rhinolophus sinicus,89399,mammalia,chiroptera,rhinolophidae,Antibodies,host_presence_only,low,TRUE,candidate_only,Henipavirus nipahense,TRUE,TRUE,TRUE,FALSE
master_12,Nipah virus disease,Nipah virus disease,Rousettus leschenaultii,9408,mammalia,chiroptera,pteropodidae,Antibodies,host_presence_only,low,TRUE,candidate_only,Henipavirus nipahense,TRUE,TRUE,TRUE,FALSE
