analysis_unit_id,readiness_disease_name,disease_name,species_name,tax_id,species_role,sdm_needed_for_disease,host_role_assignment,host_role_confidence,host_role_needs_manual_review,host_role_assignment_status,vector_role_assignment,vector_role_confidence,vector_role_needs_manual_review,vector_role_assignment_status,sdm_available,sdm_species
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Anas zonorhyncha,75864,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Anastomus oscitans,1706835,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Anatidae,1867944,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Anous tenuirostris,297803,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Anser,8847,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Anser albifrons,50365,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Anser anser,8843,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Anser brachyrhynchus,132585,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Anser caerulescens,440516,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Anser caerulescens,70340,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Anser caerulescens,8849,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Anser canagicus,107021,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Anser cygnoides,8845,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Anser erythropus,132586,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Anser fabalis,132587,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Anser indicus,8846,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Anser rossii,56281,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Anthropoides virgo,9111,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Antigone canadensis,1977160,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Antigone vipio,2717088,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Aquila chrysaetos,8962,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Aquila fasciata,252784,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Arctocephalus australis,161928,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,TRUE,Arctocephalus australis
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Arctocephalus gazella,37190,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,TRUE,Arctocephalus gazella
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Ardea alba,110620,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Ardea cinerea,30390,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Ardea herodias,56072,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Ardea purpurea,188373,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Ardenna gravis,37051,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Ardenna pacifica,48683,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Ardeola bacchus,188375,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Arenaria interpres,54971,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Arenaria melanocephala,279931,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Artibeus lituratus,27634,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,TRUE,Artibeus lituratus
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Artibeus obscurus,40228,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,TRUE,Artibeus obscurus
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Artibeus planirostris,40230,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,TRUE,Artibeus planirostris
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Asio flammeus,56267,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Asio otus,111810,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Astur gentilis,258924,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Astur gentilis,8957,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Athene cunicularia,194338,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Athene noctua,126797,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Aythya affinis,189533,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Aythya americana,30385,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Aythya baeri,1177618,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Aythya collaris,189535,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Aythya ferina,219593,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Aythya fuligula,219594,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Aythya marila,189534,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Aythya nyroca,197939,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Aythya valisineria,110915,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Balaenoptera acutorostrata,9767,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,TRUE,Balaenoptera acutorostrata
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Bombycilla cedrorum,161648,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Bonasa umbellus,9000,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Bos grunniens,30521,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,TRUE,Bos grunniens
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Bos taurus,9913,host,yes,susceptible_host_only,medium,TRUE,draft_needs_review,,,,,TRUE,Bos taurus
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Branta bernicla,184712,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Branta canadensis,8853,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Branta hutchinsii,371860,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Branta leucopsis,184711,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
